Size,Operation,Time
190,GSL_multiplication,1.000000000000000020817e-02
190,naive_multiplication,5.000000000000000277556e-02
190,better_multiplication,4.000000000000000083267e-02
190,GSL_multiplication,0.000000000000000000000e+00
190,naive_multiplication,5.999999999999999777955e-02
190,better_multiplication,5.000000000000000277556e-02
190,GSL_multiplication,1.000000000000000020817e-02
190,naive_multiplication,5.000000000000000277556e-02
190,better_multiplication,4.000000000000000083267e-02
190,GSL_multiplication,1.000000000000000020817e-02
190,naive_multiplication,5.000000000000000277556e-02
190,better_multiplication,2.999999999999999888978e-02
190,GSL_multiplication,1.000000000000000020817e-02
190,naive_multiplication,4.000000000000000083267e-02
190,better_multiplication,4.000000000000000083267e-02
190,GSL_multiplication,1.000000000000000020817e-02
190,naive_multiplication,5.000000000000000277556e-02
190,better_multiplication,4.000000000000000083267e-02
190,GSL_multiplication,1.000000000000000020817e-02
190,naive_multiplication,5.999999999999999777955e-02
190,better_multiplication,4.000000000000000083267e-02
190,GSL_multiplication,1.000000000000000020817e-02
190,naive_multiplication,5.000000000000000277556e-02
190,better_multiplication,4.000000000000000083267e-02
190,GSL_multiplication,1.000000000000000020817e-02
190,naive_multiplication,4.000000000000000083267e-02
190,better_multiplication,4.000000000000000083267e-02
190,GSL_multiplication,1.000000000000000020817e-02
280,naive_multiplication,1.400000000000000133227e-01
280,better_multiplication,1.300000000000000044409e-01
280,GSL_multiplication,2.000000000000000041633e-02
280,naive_multiplication,3.099999999999999977796e-01
280,better_multiplication,2.099999999999999922284e-01
280,GSL_multiplication,2.999999999999999888978e-02
280,naive_multiplication,1.499999999999999944489e-01
280,better_multiplication,1.300000000000000044409e-01
280,GSL_multiplication,2.000000000000000041633e-02
280,naive_multiplication,1.600000000000000033307e-01
280,better_multiplication,1.199999999999999955591e-01
280,GSL_multiplication,2.000000000000000041633e-02
280,naive_multiplication,1.499999999999999944489e-01
280,better_multiplication,1.199999999999999955591e-01
280,GSL_multiplication,2.000000000000000041633e-02
280,naive_multiplication,1.499999999999999944489e-01
280,better_multiplication,1.300000000000000044409e-01
280,GSL_multiplication,2.000000000000000041633e-02
280,naive_multiplication,1.400000000000000133227e-01
280,better_multiplication,1.300000000000000044409e-01
280,GSL_multiplication,2.999999999999999888978e-02
280,naive_multiplication,1.499999999999999944489e-01
280,better_multiplication,1.300000000000000044409e-01
280,GSL_multiplication,2.000000000000000041633e-02
280,naive_multiplication,1.600000000000000033307e-01
280,better_multiplication,1.199999999999999955591e-01
280,GSL_multiplication,2.000000000000000041633e-02
280,naive_multiplication,1.600000000000000033307e-01
280,better_multiplication,1.300000000000000044409e-01
280,GSL_multiplication,2.000000000000000041633e-02
370,naive_multiplication,3.599999999999999866773e-01
370,better_multiplication,2.899999999999999800160e-01
370,GSL_multiplication,5.000000000000000277556e-02
370,naive_multiplication,3.599999999999999866773e-01
370,better_multiplication,2.899999999999999800160e-01
370,GSL_multiplication,5.000000000000000277556e-02
370,naive_multiplication,3.699999999999999955591e-01
370,better_multiplication,2.899999999999999800160e-01
370,GSL_multiplication,5.000000000000000277556e-02
370,naive_multiplication,3.599999999999999866773e-01
370,better_multiplication,3.800000000000000044409e-01
370,GSL_multiplication,5.000000000000000277556e-02
370,naive_multiplication,3.599999999999999866773e-01
370,better_multiplication,2.899999999999999800160e-01
370,GSL_multiplication,4.000000000000000083267e-02
370,naive_multiplication,5.899999999999999689138e-01
370,better_multiplication,5.300000000000000266454e-01
370,GSL_multiplication,5.000000000000000277556e-02
370,naive_multiplication,3.699999999999999955591e-01
370,better_multiplication,2.899999999999999800160e-01
370,GSL_multiplication,4.000000000000000083267e-02
370,naive_multiplication,3.599999999999999866773e-01
370,better_multiplication,2.899999999999999800160e-01
370,GSL_multiplication,5.000000000000000277556e-02
370,naive_multiplication,3.599999999999999866773e-01
370,better_multiplication,2.899999999999999800160e-01
370,GSL_multiplication,5.000000000000000277556e-02
370,naive_multiplication,6.099999999999999866773e-01
370,better_multiplication,2.899999999999999800160e-01
370,GSL_multiplication,5.000000000000000277556e-02
460,naive_multiplication,1.560000000000000053291e+00
460,better_multiplication,5.899999999999999689138e-01
460,GSL_multiplication,8.999999999999999666933e-02
460,naive_multiplication,7.600000000000000088818e-01
460,better_multiplication,5.500000000000000444089e-01
460,GSL_multiplication,1.000000000000000055511e-01
460,naive_multiplication,7.800000000000000266454e-01
460,better_multiplication,5.600000000000000532907e-01
460,GSL_multiplication,8.999999999999999666933e-02
460,naive_multiplication,7.800000000000000266454e-01
460,better_multiplication,5.600000000000000532907e-01
460,GSL_multiplication,8.999999999999999666933e-02
460,naive_multiplication,8.800000000000000044409e-01
460,better_multiplication,5.699999999999999511502e-01
460,GSL_multiplication,1.000000000000000055511e-01
460,naive_multiplication,8.000000000000000444089e-01
460,better_multiplication,7.900000000000000355271e-01
460,GSL_multiplication,1.000000000000000055511e-01
460,naive_multiplication,8.800000000000000044409e-01
460,better_multiplication,5.600000000000000532907e-01
460,GSL_multiplication,8.999999999999999666933e-02
460,naive_multiplication,7.700000000000000177636e-01
460,better_multiplication,5.500000000000000444089e-01
460,GSL_multiplication,1.000000000000000055511e-01
460,naive_multiplication,1.000000000000000000000e+00
460,better_multiplication,6.099999999999999866773e-01
460,GSL_multiplication,1.900000000000000022204e-01
460,naive_multiplication,1.110000000000000097700e+00
460,better_multiplication,5.600000000000000532907e-01
460,GSL_multiplication,1.000000000000000055511e-01
